VRCamera,1.227531,-0.2481078,1.660898,0.37648,32.50645,253.1714,358.7202
Tracker1,1.227531,0,0,0,0,0,0
Tracker2,1.227531,0,0,0,0,0,0
Tracker3,1.227531,0,0,0,0,0,0
LeftHand,1.250641,-0.4353514,1.34564,0.252126,306.3889,246.7898,2.472612
RightHand,1.250641,-0.5462277,1.142063,0.4103392,339.8755,232.6172,42.14073
VRCamera,1.250641,-0.2481568,1.660652,0.3767646,32.55264,253.0834,358.6341
Tracker1,1.250641,0,0,0,0,0,0
Tracker2,1.250641,0,0,0,0,0,0
Tracker3,1.250641,0,0,0,0,0,0
LeftHand,1.274448,-0.4355109,1.345845,0.2522511,306.3843,246.8677,2.433954
RightHand,1.274448,-0.5460165,1.142427,0.4102306,339.8115,232.607,42.15292
VRCamera,1.274448,-0.2480659,1.660508,0.3769391,32.62413,253.0454,358.6402
Tracker1,1.274448,0,0,0,0,0,0
Tracker2,1.274448,0,0,0,0,0,0
Tracker3,1.274448,0,0,0,0,0,0
LeftHand,1.298354,-0.4356017,1.345824,0.2523125,306.3767,246.893,2.364523
RightHand,1.298354,-0.5464599,1.143025,0.4100359,339.7259,232.5409,42.22007
VRCamera,1.298354,-0.2480747,1.660301,0.3771877,32.68816,253.0138,358.6691
Tracker1,1.298354,0,0,0,0,0,0
Tracker2,1.298354,0,0,0,0,0,0
Tracker3,1.298354,0,0,0,0,0,0
LeftHand,1.332152,-0.435478,1.345605,0.2524816,306.3658,246.88,2.35889
RightHand,1.332152,-0.5462942,1.143077,0.4098898,339.6017,232.4762,42.34918
VRCamera,1.332152,-0.2481008,1.659971,0.3773659,32.7657,253.0151,358.6772
Tracker1,1.332152,0,0,0,0,0,0
Tracker2,1.332152,0,0,0,0,0,0
Tracker3,1.332152,0,0,0,0,0,0
LeftHand,1.627555,-0.433495,1.344696,0.2551302,306.4021,247.2126,2.022025
RightHand,1.627555,-0.541887,1.143131,0.4083597,338.9379,231.3235,43.79489
VRCamera,1.627555,-0.2479461,1.659809,0.377547,32.86722,252.996,358.6639
Tracker1,1.627555,0,0,0,0,0,0
Tracker2,1.627555,0,0,0,0,0,0
Tracker3,1.627555,0,0,0,0,0,0
LeftHand,1.698753,-0.4330876,1.344487,0.2557195,306.4133,247.351,1.900031
RightHand,1.698753,-0.5409606,1.143236,0.408326,338.8397,231.1211,43.9964
VRCamera,1.698753,-0.2473689,1.656124,0.3799531,34.47102,252.8439,358.7769
Tracker1,1.698753,0,0,0,0,0,0
Tracker2,1.698753,0,0,0,0,0,0
Tracker3,1.698753,0,0,0,0,0,0
LeftHand,1.727421,-0.4326103,1.344506,0.2562262,306.4164,247.4406,1.84095
RightHand,1.727421,-0.5400603,1.143556,0.4083207,338.8057,230.9898,44.08387
VRCamera,1.727421,-0.2473025,1.655087,0.3803817,34.836,252.8705,358.9182
Tracker1,1.727421,0,0,0,0,0,0
Tracker2,1.727421,0,0,0,0,0,0
Tracker3,1.727421,0,0,0,0,0,0
LeftHand,1.753097,-0.4323454,1.344449,0.2564864,306.433,247.5032,1.849669
RightHand,1.753097,-0.5394018,1.143516,0.4082115,338.7555,230.8474,44.27462
VRCamera,1.753097,-0.2470647,1.654428,0.3805425,35.08131,252.8217,358.8894
Tracker1,1.753097,0,0,0,0,0,0
Tracker2,1.753097,0,0,0,0,0,0
